,spot_num,gu
0,A-01,서대문구
1,A-02,종로구
2,A-03,종로구
3,A-04,성북구
4,A-05,종로구
5,A-06,종로구
6,A-07,종로구
7,A-08,종로구
8,A-09,중구
9,A-10,중구
10,A-11,중구
11,A-12,중구
12,A-13,중구
13,A-14,종로구
14,A-15,종로구
15,A-16,중구
16,A-17,중구
17,A-18,중구
18,A-19,중구
19,A-20,용산구
20,A-21,용산구
21,A-22,용산구
22,A-23,중구
23,A-24,중구
24,B-01,도봉구
25,B-02,노원구
26,B-03,광진구
27,B-04,중랑구
28,B-05,중랑구
29,B-06,노원구
30,B-07,중랑구
31,B-08,강동구
32,B-09,강동구
33,B-10,강동구
34,B-11,서초구
35,B-12,송파구
36,B-13,강남구
37,B-14,송파구
38,B-15,서초구
39,B-16,서초구
40,B-17,서초구
41,B-18,금천구
42,B-19,구로구
43,B-20,구로구
44,B-21,구로구
45,B-22,금천구
46,B-23,금천구
47,B-24,금천구
48,B-25,금천구
49,B-26,강서구
50,B-27,양천구
51,B-28,양천구
52,B-29,구로구
53,B-30,구로구
54,B-31,강서구
55,B-32,강서구
56,B-33,은평구
57,B-34,은평구
58,B-35,은평구
59,B-36,마포구
60,B-37,광진구
61,B-38,노원구
62,C-01,강서구
63,C-02,마포구
64,C-03,마포구
65,C-04,마포구
66,C-05,마포구
67,C-06,영등포구
68,C-07,영등포구
69,C-08,영등포구
70,C-09,용산구
71,C-10,용산구
72,C-11,서초구
73,C-12,서초구
74,C-13,강남구
75,C-14,성동구
76,C-15,성동구
77,C-16,광진구
78,C-17,강남구
79,C-18,송파구
80,C-19,송파구
81,C-20,송파구
82,C-21,강동구
83,D-01,종로구
84,D-02,종로구
85,D-03,중구
86,D-04,용산구
87,D-05,성동구
88,D-06,성동구
89,D-07,광진구
90,D-08,성북구
91,D-09,성북구
92,D-10,노원구
93,D-11,도봉구
94,D-12,노원구
95,D-13,노원구
96,D-14,은평구
97,D-15,서대문구
98,D-16,서대문구
99,D-17,서대문구
100,D-18,양천구
101,D-19,양천구
102,D-20,강서구
103,D-21,강서구
104,D-22,구로구
105,D-23,구로구
106,D-24,금천구
107,D-25,영등포구
108,D-26,영등포구
109,D-27,영등포구
110,D-28,영등포구
111,D-29,영등포구
112,D-30,동작구
113,D-31,서초구
114,D-32,관악구
115,D-33,관악구
116,D-34,서초구
117,D-35,강남구
118,D-36,서초구
119,D-37,서초구
120,D-38,강남구
121,D-39,강남구
122,D-40,강남구
123,D-41,영등포구
124,D-42,강남구
125,D-43,강남구
126,D-44,송파구
127,D-45,송파구
128,D-46,영등포구
129,F-01,동작구
130,F-02,용산구
131,F-03,성북구
132,F-04,성북구
133,F-05,동대문구
134,F-06,서초구
135,F-07,강남구
136,F-08,금천구
137,F-09,금천구
138,F-10,양천구
